id,name,sort_name,district,start_date,end_date,party,source,image,phone,email,term
ldure,Lucila Beatriz Dure,"Dure, Lucila Beatriz",Formosa,2013-12-10,2017-12-09,PARTIDO SOCIALISTA,http://www.hcdn.gob.ar/diputados/ldure/,"","","",135
lgervasoni,Lautaro Gervasoni,"Gervasoni, Lautaro",Entre Rios,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/lgervasoni/,"","","",135
lgrosso,Leonardo Grosso,"Grosso, Leonardo",Buenos Aires,2015-12-10,2019-12-09,PERONISMO PARA LA VICTORIA,http://www.hcdn.gob.ar/diputados/lgrosso/,"","","",135
lherrera,Luis Beder Herrera,"Herrera, Luis Beder",La Rioja,2015-12-10,2019-12-09,JUSTICIALISTA,http://www.hcdn.gob.ar/diputados/lherrera/,"","","",135
lincicco,Lucas Ciriaco Incicco,"Incicco, Lucas Ciriaco",Santa Fe,2015-12-10,2019-12-09,UNION PRO,http://www.hcdn.gob.ar/diputados/lincicco/,"","","",135
llaspina,Luciano Andres Laspina,"Laspina, Luciano Andres",Santa Fe,2013-12-10,2017-12-09,UNION PRO,http://www.hcdn.gob.ar/diputados/llaspina/,"","","",135
llopezk,Leandro Gaston Lopez Koenig,"Lopez Koenig, Leandro Gaston",Neuquen,2015-12-10,2019-12-09,UNION PRO,http://www.hcdn.gob.ar/diputados/llopezk/,"","","",135
lmartinez,Leonor Maria Martinez Villada,"Martinez Villada, Leonor Maria",Cordoba,2015-12-10,2019-12-09,COALICION CIVICA,http://www.hcdn.gob.ar/diputados/lmartinez/,"","","",135
lmazure,Liliana Amalia Mazure,"Mazure, Liliana Amalia",Ciudad De Buenos Aires,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/lmazure/,"","","",135
lpastori,Luis Mario Pastori,"Pastori, Luis Mario",Misiones,2013-12-10,2017-12-09,UCR,http://www.hcdn.gob.ar/diputados/lpastori/,"","","",135
lpetri,Luis Alfonso Petri,"Petri, Luis Alfonso",Mendoza,2013-12-10,2017-12-09,UCR,http://www.hcdn.gob.ar/diputados/lpetri/,"","","",135
ltailhade,Luis Rodolfo Tailhade,"Tailhade, Luis Rodolfo",Buenos Aires,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/ltailhade/,"","","",135
lvolnovich,Luana Volnovich,"Volnovich, Luana",Buenos Aires,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/lvolnovich/,"","","",135
malvarezr,Maria Cristina Alvarez Rodriguez,"Alvarez Rodriguez, Maria Cristina",Buenos Aires,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/malvarezr/,"","","",135
mbarletta,Mario Domingo Barletta,"Barletta, Mario Domingo",Santa Fe,2013-12-10,2017-12-09,UCR,http://www.hcdn.gob.ar/diputados/mbarletta/,"","","",135
mbazze,Miguel Angel Bazze,"Bazze, Miguel Angel",Buenos Aires,2015-12-10,2019-12-09,UCR,http://www.hcdn.gob.ar/diputados/mbazze/,"","","",135
mbrezzo,Maria Eugenia Brezzo,"Brezzo, Maria Eugenia",Cordoba,2013-12-10,2017-12-09,UNIDOS POR UNA NUEVA ARGENTINA,http://www.hcdn.gob.ar/diputados/mbrezzo/,"","","",135
mbritez,Maria Cristina Britez,"Britez, Maria Cristina",Misiones,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/mbritez/,"","","",135
mburgos,Maria Gabriela Burgos,"Burgos, Maria Gabriela",Jujuy,2013-12-10,2017-12-09,UCR,http://www.hcdn.gob.ar/diputados/mburgos/,"","","",135
mcleri,Marcos Cleri,"Cleri, Marcos",Santa Fe,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/mcleri/,"","","",135
mcloss,Maurice Fabian Closs,"Closs, Maurice Fabian",Misiones,2015-12-10,2019-12-09,FRENTE DE LA CONCORDIA MISIONERO,http://www.hcdn.gob.ar/diputados/mcloss/,"","","",135
mcremer,Maria Cristina Cremer De Busti,"Cremer De Busti, Maria Cristina",Entre Rios,2013-12-10,2017-12-09,UNION POR ENTRE RIOS,http://www.hcdn.gob.ar/diputados/mcremer/,"","","",135
mehcosor,Maria Azucena Ehcosor,"Ehcosor, Maria Azucena",Buenos Aires,2013-12-10,2017-12-09,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,http://www.hcdn.gob.ar/diputados/mehcosor/,"","","",135
mgallardo,Miriam Graciela Gallardo,"Gallardo, Miriam Graciela",Tucuman,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/mgallardo/,"","","",135
mgarcia,Maria Teresa Garcia,"Garcia, Maria Teresa",Buenos Aires,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/mgarcia/,"","","",135
mgomezb,Mauricio Ricardo Gomez Bull,"Gomez Bull, Mauricio Ricardo",Santa Cruz,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/mgomezb/,"","","",135
mguerin,Maria Isabel Guerin,"Guerin, Maria Isabel",Buenos Aires,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/mguerin/,"","","",135
mhernandez,Martin Osvaldo Hernandez,"Hernandez, Martin Osvaldo",Formosa,2015-12-10,2019-12-09,UCR,http://www.hcdn.gob.ar/diputados/mhernandez/,"","","",135
mhjuarez,Manuel Humberto Juarez,"Juarez, Manuel Humberto",Santiago Del Estero,2013-12-10,2017-12-09,FRENTE CIVICO POR SANTIAGO,http://www.hcdn.gob.ar/diputados/mhjuarez/,"","","",135
