name,gender,occupation,party,image,area,area_id,term,source
Mr. MAMADOU TRAORE,male,CONSEILLER CLIENTELE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/mamadou_traore_titu.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DIOMANDE MANGA,male,MEDECIN,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/diomande_manga.tiff,BIANKOUMA,31-88,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme YACE LAURETTE ANDREE,female,SANS EMPLOI,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/yace_laurette_candidat.jpg,JACQUEVILLE,15-41,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DESSI HUBERT,male,BANQUIER,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/DESSI_HUBERT.jpg,AGBOVILLE,1-1,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. OUATTARA SIAKA,male,COMMERCANT,MFA,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/OUATTARA_SIAKA.jpg,BONDOUKOU,14-34,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. YEBOUA ATTA KOBLAN FRANCOIS BARTHELEMY,male,ATTACHE ADMINISTRATIF,MFA,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/atta.jpg,BONDOUKOU,14-34,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme AKE CAMILLE,female,DIRECTRICE DE SOCIETE,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/ake_camille.tiff,ALEPE,24-68,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. APEA KOMENE JOACHIM,male,PLANTEUR,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/apea_komene_joachin.tiff,SOUBRE,25-71,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. ANE BONI SIMEON,male,AGENT COMMERCIAL,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/ane_boni_simeon.tiff,ARRAH,26-72,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. BAMBA MAMADOU,male,PROFFESSEUR,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/BAMBA_MAMADOU.jpg,AGBOVILLE,1-1,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. JOHNWAN TEKE NORBERT,male,CADRE DE BANQUE,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/johnwan_teke.tiff,GRAND-BASSAM,29-84,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. OKOU DONON MICHEL,male,AGENT DE BUREAU,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/okou_donon_michel.tiff,LAKOTA,22-62,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. YAO MEH,male,GEOMETRE,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/YAO_MEH.jpg,DUEKOUE,16-43,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. YAO SOUMAILA,male,AGRICULTEUR,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/YAO_SOUMAILA.jpg,KOUN-FAO,14-35,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. SOUMAHORO ADAMA,male,INFORMATICIEN,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/SOUMAHORO_ADAMA.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. BANDAMAN KOUAKOU MAURICE,male,ENSEIGNANT,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/maurice.jpg,TIASSALE,1-3,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DJE-BI HIHA CONSTANT,male,CHEF D`ENTREPRISE,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/dje_bi_hiha.tiff,ZUENOULA,23-65,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. OULATTA GAHO DIT PIERRE,male,FONCTIONNAIRE A LA RETRAITE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/OULATTA_GAHO.jpg,BANGOLO,16-42,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DAN OUELO MICHE,male,ENSEIGNANT,UDPCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/dan_ouelo.tiff,DANANE,31-89,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. BLEU BAGUI,male,NGENIEUR DES TRAVAUX PUBLICS,UDPCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/bleu_bagui.tiff,DANANE,31-89,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. TANOH ANOH JEROME,male,INFOGRAPHE,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/tano_anoh.tiff,ABOISSO,29-82,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. ZOH CHERIF RENE,male,ADMINISTRATEUR DES SCES FINANCIERS,UDPCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/zoh_cherif.tiff,BIANKOUMA,31-88,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. SARRE GNEPO EDMOND,male,PLANTEUR,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/sarre_gnepo.tiff,SAN PEDRO,28-80,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KONE TIESSIBIRI,male,PHARMACIEN,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/kone_tiessibiri.tiff,MADINANI,21-58,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KONATE ZIE ABOUBACAR,male,CHARGE D`ETUDE A LA COORDINATION DES PROJETS ET PROGRAMMES,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/konate_zie_boubacar.jpg,DALOA,18-48,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. OUONSSIO GEORGES,male,FONCTIONNAIRE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/ouonssio_georges.jpg,GUIGLO,7-20,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KAMAGATE MAMADOU,male,INGENIEUR DES TECHNIQUES DES PVA,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/KAMAGATE_MAMADOU.jpg,MANKONO,5-13,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. GOURENE GERMAIN,male,PROFESSEUR D`UNIVERSITE,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/gourene_germain.jpg,KOUNAHIRI,5-14,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. TAILLY GUEO BERNARD,male,EXPERT FINANCIER,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/TAILLY_GUEO.jpg,BANGOLO,16-42,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DAH SIE,male,JURISTE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/dah_sie.jpg,BOUNA,6-15,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme SARRA FADIKA,female,RETRAITE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/SARRA_FADIKA.jpg,TOUBA,2-6,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. TANAU YAO BRUNO,male,INGENIEUR DES TRAVAUX PUBLICS,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/TANAU_YAO.jpg,SIKENSI,1-2,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
