name,id,area,area_id,term,wikidata,source
Chu Yong-suk,14-502,Sangsinhung,502,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Ha Ung-chon,14-661,Ryusa,661,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Han Chang-nam,14-501,Samil,501,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Han Chang-sun,14-132,Myongdangsan,132,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Han Chol,14-185,Phungjong,185,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Han Chol-min,14-300,Tongchang,300,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Han Chun-sik,14-499,Pobdong,499,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Han Ho-nam,14-74,Kangnam,74,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Han Jang-bin,14-574,Rahung,574,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Han Ju-song,14-554,Puhung,554,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Han Kwang-bok,14-658,Hupho,658,13,Q2194140,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Han Kwang-sang,14-91,Tongmyon,91,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Han Myong-kuk,14-656,Samsu,656,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Han Myong-song,14-643,Phophyong,643,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Han Pyong-man,14-476,Anbyon,476,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Han Ryong-kuk,14-538,Yodok,538,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Han Song-ho,14-101,Kagam,101,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Han Song-hyok,14-251,Ryangchaek,251,13,Q18758310,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Han Song-il,14-507,Sekori,507,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Han Ung-su,14-422,Chunghwa,422,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Han Won-il,14-468,Phohwa,468,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Han Yong-chol,14-497,Ichon,497,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Han Yong-ho,14-431,Sokhyon,431,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Ho Jae-ryul,14-605,Changphyong,605,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Ho Jong-chon,14-201,Sinsongchon,201,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Ho Jong-man,14-466,Myongsok,466,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Ho Jong-ok,14-290,Unhung,290,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Ho Kwang-chun,14-268,Inam,268,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
