id,name,constituency,state,chamber,party,party_id,image,term,source,area
535,Agom Jarigbe,Ogoja/Yala,Cross River State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/535.jpg,2015,http://www.nass.gov.ng/mp/profile/535,"Ogoja/Yala, Cross River State"
913,AHMAD BABBA,Kankia/Ingawa/Kusada,Katsina State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/913.jpg,2015,http://www.nass.gov.ng/mp/profile/913,"Kankia/Ingawa/Kusada, Katsina State"
865,AHMED ABU,Lavun/Mokwa/Edati,Niger State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/865.jpg,2015,http://www.nass.gov.ng/mp/profile/865,"Lavun/Mokwa/Edati, Niger State"
460,AHMED RUFAI,Kaduna South,Kaduna State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/460.jpg,2015,http://www.nass.gov.ng/mp/profile/460,"Kaduna South, Kaduna State"
587,AHMED YERIMA,Misau/Dambam,Bauchi State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/587.jpg,2015,http://www.nass.gov.ng/mp/profile/587,"Misau/Dambam, Bauchi State"
579,AISHATU DUKKU,Dukku / Nafada,Gombe State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/579.jpg,2015,http://www.nass.gov.ng/mp/profile/579,"Dukku / Nafada, Gombe State"
898,AISOWIEREN PATRICK,Orhionmwon/Uhunmwode,Edo State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/898.jpg,2015,http://www.nass.gov.ng/mp/profile/898,"Orhionmwon/Uhunmwode, Edo State"
773,AJA SAMSON,Oju/Obi,Benue State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/773,"Oju/Obi, Benue State"
861,AJANAH KABIR,Adavi/Okehi,Kogi State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/861.jpg,2015,http://www.nass.gov.ng/mp/profile/861,"Adavi/Okehi, Kogi State"
560,AJAYI ADEYINKA,Ife Federal Constituency,Osun State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/560.jpg,2015,http://www.nass.gov.ng/mp/profile/560,"Ife Federal Constituency, Osun State"
363,AJAYI AYANTUNJI,Odo-Otin/Ifelodun/Boripe,Osun State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/363.jpg,2015,http://www.nass.gov.ng/mp/profile/363,"Odo-Otin/Ifelodun/Boripe, Osun State"
799,AJIBOLA FAMUREWA,Atakunmosa East/ Atakunmosa West/Ilesha East/,Osun State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/799.jpg,2015,http://www.nass.gov.ng/mp/profile/799,"Atakunmosa East/ Atakunmosa West/Ilesha East/, Osun State"
855,akeem adeyemi,Afijio/Oyo East/Oyo West/ Atiba,Oyo State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/855.jpg,2015,http://www.nass.gov.ng/mp/profile/855,"Afijio/Oyo East/Oyo West/ Atiba, Oyo State"
790,AKINJO VICTOR,Eseodo/Ilaje,Ondo State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/790.jpg,2015,http://www.nass.gov.ng/mp/profile/790,"Eseodo/Ilaje, Ondo State"
791,AKINLAJA JOSEPH,Ondo East/Ondo West,Ondo State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/791.jpg,2015,http://www.nass.gov.ng/mp/profile/791,"Ondo East/Ondo West, Ondo State"
342,AKINLOYE BABAJIDE,Eti-Osa,Lagos State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/342.jpg,2015,http://www.nass.gov.ng/mp/profile/342,"Eti-Osa, Lagos State"
722,AKINTOLA TAIWO,Ona-Ara/Egbeda,Oyo State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/722.jpg,2015,http://www.nass.gov.ng/mp/profile/722,"Ona-Ara/Egbeda, Oyo State"
747,Akinyele Awodumila,Emure/Gbonyin/Ekiti East,Ekiti State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/747.jpg,2015,http://www.nass.gov.ng/mp/profile/747,"Emure/Gbonyin/Ekiti East, Ekiti State"
743,ALABI MOJEED,"Ede North,South/Egbedero/Ejigbo",Osun State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/743.jpg,2015,http://www.nass.gov.ng/mp/profile/743,"Ede North,South/Egbedero/Ejigbo, Osun State"
746,ALAGBOSO JERRY,Orlu/Oru East/Orsu,Imo State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/746.jpg,2015,http://www.nass.gov.ng/mp/profile/746,"Orlu/Oru East/Orsu, Imo State"
934,ALBERT ADEOGUN,Ife Central/East/North/South,Osun State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/934.jpg,2015,http://www.nass.gov.ng/mp/profile/934,"Ife Central/East/North/South, Osun State"
902,Ali Isa,Balanga/Billiri,Gombe State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/902.jpg,2015,http://www.nass.gov.ng/mp/profile/902,"Balanga/Billiri, Gombe State"
