id,name,position_id,position,label,start_date,end_date,ordinal
Q12740250,Răzvan Mustea-Șerban,Q12740250-97437e54-469b-0c87-6917-75547f01f8b5,Q20884417,Minister of Communications and Information Society,2012-02-09,2012-04-27,0
Q12858274,Florin Georgescu,Q12858274-dc799c37-4e7f-ed61-16bc-9b454968b211,Q21504216,Minister of Public Finance,1992-11-19,1996-12-11,0
Q12858274,Florin Georgescu,Q12858274-342b06d8-47e2-38c0-1d90-674d6cbd0b9d,Q21504216,Minister of Public Finance,2012-05-07,2012-12-21,0
Q133896,Dimitrie Ghica,Q133896-795E801E-3667-4069-BC50-6D839BAFF7D6,Q15304810,Prime Minister of Romania,1868-01-01,1870-01-01,0
Q1377596,Ion G. Duca,Q1377596-5B90D5D9-52E4-46DE-90E1-9672D6C32513,Q15304810,Prime Minister of Romania,1933-11-14,1933-12-30,0
Q153047,Ion C. Brătianu,Q153047-AC584E05-B8A7-4699-A1C4-5D4AC6387C67,Q15304810,Prime Minister of Romania,"","",0
Q16217237,Daniel Constantin,Q16217237-60693f97-4b76-502e-3a39-b08d7a9afabe,Q21503604,Minister of Agriculture of Romania,2012-05-07,2015-11-17,0
Q16217237,Daniel Constantin,Q16217237-834c2125-4d17-694c-610f-0cf1d60400d0,Q21504155,Minister of the Environment and Climate Change,2017-01-04,2017-04-03,0
Q16879979,Mircea Dușa,Q16879979-9aa5b3fa-4dbf-3fa5-b36a-250ef1600171,Q21504197,Minister of National Defence,2012-12-21,2015-11-17,0
Q16879979,Mircea Dușa,Q16879979-076d415d-4860-ec69-6ffb-00e4d8c78fc0,Q21504201,Minister of Internal Affairs,2012-08-08,2012-12-21,0
Q1827000,Dimitrie Brătianu,Q1827000-5CA94680-D19A-4C52-992E-CE7DAE9D3C10,Q15304810,Prime Minister of Romania,1881-01-01,1881-01-01,0
Q1827000,Dimitrie Brătianu,Q1827000-f12fba5c-47de-1661-4650-1c8885c833c9,Q21503673,Minister of Foreign Affairs of Romania,1881-04-10,1881-06-08,0
Q1827008,Vintilă Brătianu,Q1827008-85D0D06C-36AB-4E7E-9CD4-2184B3903548,Q15304810,Prime Minister of Romania,1927-01-01,1928-01-01,0
Q18325107,Nicolae Bănicioiu,Q18325107-bb4c63d5-4570-110d-f989-b38e3faa0872,Q20885066,Minister of Health of Romania,2014-03-05,2015-11-17,0
Q18325107,Nicolae Bănicioiu,Q18325107-1da50cd1-4aff-e33a-af54-8c9bfcd64ea2,Q21503827,Minister of Youth and Sport,2012-12-21,2014-03-05,0
Q1842040,Gheorghe Tătărescu,Q1842040-722C4913-5BF9-4382-913A-770BDE3B2BF2,Q15304810,Prime Minister of Romania,1939-11-25,1940-07-04,0
Q18541290,Alexandru Lăpușan,Q18541290-3ce13231-47ba-ffb4-d97a-d4af8eda993c,Q21503604,Minister of Agriculture of Romania,"","",0
Q18549271,Valerian Vreme,Q18549271-403bc45a-40c5-4d67-6fa7-b90d304d01ff,Q20884417,Minister of Communications and Information Society,2010-09-03,2012-02-09,0
Q18549450,Viorel Ștefan,Q18549450-e4f2f6bf-400c-f988-2a03-9e6b339ba572,Q21504216,Minister of Public Finance,2017-01-04,2017-06-29,0
Q18549450,Viorel Ștefan,Q18549450-0073748d-4a2e-2f57-5d10-7942601ddcf2,Q877955,deputy prime minister,2018-01-29,"",0
Q18647975,Ioan Vulpescu,Q18647975-0b143bdb-49d2-facb-7075-954520962d85,Q21503769,Minister of Culture,2014-12-17,2015-11-17,0
Q18647975,Ioan Vulpescu,Q18647975-56435b07-40f5-bb69-aecf-d9e009b2bd1c,Q21503769,Minister of Culture,2017-01-04,"",0
Q19003460,Sorin Grindeanu,Q19003460-187dc1da-4ae8-f58b-a07a-94a13cf35fad,Q15304810,Prime Minister of Romania,2017-01-04,2017-06-29,0
Q19003460,Sorin Grindeanu,Q19003460-7B2612A6-BF3E-4720-9923-DE4FE73C3A9F,Q20884417,Minister of Communications and Information Society,2014-12-17,2015-11-17,0
Q2002136,Gheorghe Grigore Cantacuzino,Q2002136-BCCB5BA6-0335-42BB-A44D-63ED0ABAECB5,Q15304810,Prime Minister of Romania,1899-01-01,1900-01-01,0
