id,name,image,area,area_id,party,party_id,term,source,last_seen
427,RAHAL KHOURI JONY,http://www.asambleanacional.gob.ve/uploads/diputado/dip_67c3170451c5260a7765f746d32b1d86b33eea1f.jpg,Nueva Esparta,12,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/427,2016-07-28
429,D'ELIA BRICEÑO ADRIANA MARÍA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_b71f06b57ed41ff5e539b9dd85d9f690d19644c8.jpg,Miranda,8,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/429,2016-07-28
430,GRATEROL ROQUE GREGORIO SEGUNDO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_0f5fd5a8f8866d9deb773f09b4a2a3119fb01f25.jpg,Falcón,16,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/430,2016-07-28
431,GARCÍA MANAURE JUAN JAVIEL,http://www.asambleanacional.gob.ve/uploads/diputado/dip_1fa1ae32006d3ee3c629fccfb12f3c35a7b931b8.jpg,Falcón,16,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/431,2016-07-28
432,BOLÍVAR PARRA TOBÍAS RAFAEL,http://www.asambleanacional.gob.ve/uploads/diputado/dip_57cf598e53f37ff582e329946908c4ef0a7e26d9.jpg,Nueva Esparta,12,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/432,2016-07-28
433,AOUEISS MAROUN PIERRE,http://www.asambleanacional.gob.ve/uploads/diputado/dip_b2e8e99b009bbe5b54577d602d910fd2835d7e63.jpg,Monagas,18,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/433,2016-07-28
434,SOLÓRZANO BERNAL DELSA JENNIFFER,http://www.asambleanacional.gob.ve/uploads/diputado/dip_5481c4827ccc6567912576ad52add89a49148524.jpg,Miranda,8,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/434,2016-07-28
435,GUAIDÓ MÁRQUEZ JUAN GERARDO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_8041584f9a7158f8029b0cdd32ceaf307829f4d9.jpg,Vargas,23,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/435,2016-07-28
436,DÍAZ GARCÍA ELIMAR CAROLINA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_07b712f10ee4366f8b69ab0153dfafbc09bd986d.jpg,Zulia,15,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/436,2016-07-28
438,NORIEGA FIGUEROA JOSÉ GREGORIO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_95ef126884eb72c0d97fae090848cdd0ef1c1c12.jpg,Sucre,9,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/438,2016-07-28
440,GÓMEZ FLORES LAIDY YORVEYS,http://www.asambleanacional.gob.ve/uploads/diputado/dip_4f42130667445f83932fe68c147f076ae3075ec7.jpg,Táchira,1,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/440,2016-07-28
442,RONDON HERNÁNDEZ LUIS EMILIO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_56c6e73ed4d87ba64dbc80d0fd213e28e806cd70.jpg,Nueva Esparta,12,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/442,2016-07-28
443,CAMPOS RODRÍGUEZ TEODORO FELIPE,http://www.asambleanacional.gob.ve/uploads/diputado/dip_037bfb2eef732a579e0e7d5c0b52d8bc83173bf6.jpg,Lara,7,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/443,2016-07-28
