id,name,type,party,area_id,area,gender,image,term,source
170,BOUDAOUD NOURA,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:10,Bouira,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/117.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/170-boudaoud-noura
171,BOUDARENE NEE YEFSAH NADIA,National,PARTI DES TRAVAILLEURS,ocd-division/country:dz/wilayah:15,Tizi ouzou,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/9527.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/171-boudarene-nee-yefsah-nadia
172,BOUDEBOUZ GHANI,National,ALLIANCE ALGERIE VERTE,ocd-division/country:dz/wilayah:16,Alger,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/118.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/172-boudebouz-ghani
173,BOUDIAB NOUREDDINE,National,FRONT NATIONAL ALGERIEN,ocd-division/country:dz/wilayah:18,Jijel,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/120.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/173-boudiab-noureddine
174,BOUDIBA LOUIZA,National,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,ocd-division/country:dz/wilayah:12,Tebessa,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/121.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/174-boudiba-louiza
175,BOUDJELAL OMAR,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:9,Blida,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/105.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/175-boudjelal-omar
176,BOUDJEMAI FAIZA,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:42,Tipaza,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/106.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/176-boudjemai-faiza
177,BOUDJEMLINE MOSTEFA,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:7,Biskra,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/108.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/177-boudjemline-mostefa
178,BOUDJEMLINE NEE HAMIDI FATIMA,National,ALLIANCE ALGERIE VERTE,ocd-division/country:dz/wilayah:16,Alger,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/107.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/178-boudjemline-nee-hamidi-fatima
179,BOUDRICHE NACERA,National,PARTI DES TRAVAILLEURS,ocd-division/country:dz/wilayah:9,Blida,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/41.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/179-boudriche-nacera
180,BOUDRICI MOHAMED,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:26,Medea,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/119.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/180-boudrici-mohamed
181,BOUFANARA MOHAMED,National,PARTI DES TRAVAILLEURS,ocd-division/country:dz/wilayah:25,Constantine,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/9528.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/181-boufanara-mohamed
182,BOUFELFEL NACIRA,National,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,ocd-division/country:dz/wilayah:24,Guelma,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/9529.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/182-boufelfel-nacira
183,BOUGHERARA AMEL,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:43,Mila,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/9531.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/183-bougherara-amel
