id,name,image,source,faction,area,birth_date,start_date,end_date,area_id,term
1756635,Петров Александр Петрович,http://www.duma.gov.ru/upload/iblock/e79/e79318918bf871b508c10ea6c8e3dacc.jpg,http://www.duma.gov.ru/structure/deputies/1756635/,«ЕДИНАЯРОССИЯ»,Свердловская область,1958-05-21,2016-09-18,,,7
1756636,Панков Николай Васильевич,http://www.duma.gov.ru/upload/iblock/41c/41cc61f49eaf5945ad7f87092bb90956.jpg,http://www.duma.gov.ru/structure/deputies/1756636/,«ЕДИНАЯРОССИЯ»,Саратовская область,1965-01-05,2016-09-18,,0164,7
1756637,Омаров Гаджимурад Заирбекович,http://www.duma.gov.ru/upload/iblock/57b/57bc5e66bfcceced06f15f62090e3dd0.jpg,http://www.duma.gov.ru/structure/deputies/1756637/,«СПРАВЕДЛИВАЯРОССИЯ»,Республика БашкортостанРеспублика Татарстан (Татарстан)Московская область,1962-02-23,2016-09-18,,,7
1756638,Огуль Леонид Анатольевич,http://www.duma.gov.ru/upload/iblock/d15/d15227eceaedfae3fe00bf7b3c1cbede.jpg,http://www.duma.gov.ru/structure/deputies/1756638/,«ЕДИНАЯРОССИЯ»,Астраханская область,1963-10-26,2016-09-18,,0074,7
1756639,Новиков Дмитрий Георгиевич,http://www.duma.gov.ru/upload/iblock/d78/d786dbb4bab86e65097654ffa7e2307c.jpg,http://www.duma.gov.ru/structure/deputies/1756639/,КПР,все субъекты Российской Федерации,1969-09-12,2016-09-18,,,7
1756640,Нилов Ярослав Евгеньевич,http://www.duma.gov.ru/upload/iblock/014/014b3a2537f40b07e215acc5a24f315e.jpg,http://www.duma.gov.ru/structure/deputies/1756640/,ЛДПР,все субъекты Российской Федерации,1982-03-20,2016-09-18,,,7
1756641,Нилов Олег Анатольевич,http://www.duma.gov.ru/upload/iblock/e7e/e7ef002b889e29047d999bc65b12e583.jpg,http://www.duma.gov.ru/structure/deputies/1756641/,«СПРАВЕДЛИВАЯРОССИЯ»,город Санкт-ПетербургПриморский крайСахалинская область,1962-05-08,2016-09-18,,,7
1756642,Никонов Вячеслав Алексеевич,http://www.duma.gov.ru/upload/iblock/4d9/4d9c35614840d013c015a90f3752314f.jpg,http://www.duma.gov.ru/structure/deputies/1756642/,«ЕДИНАЯРОССИЯ»,Республика Марий ЭлРеспублика МордовияЧувашская Республика – ЧувашияНижегородская область,1956-06-05,2016-09-18,,,7
1756643,Некрасов Александр Николаевич,http://www.duma.gov.ru/upload/iblock/3de/3de6da346de1c5b81c15b3a93be84e75.jpg,http://www.duma.gov.ru/structure/deputies/1756643/,КПР,Ивановская областьКостромская областьЯрославская область,1963-06-20,2016-09-18,,,7
1756644,Напсо Юрий Аисович,http://www.duma.gov.ru/upload/iblock/908/9083b64a8e026088364878abe73e4f0c.jpg,http://www.duma.gov.ru/structure/deputies/1756644/,ЛДПР,Краснодарский крайодномандатные округа: Краснодарский № 46Красноармейский № 47Туапсинский № 49Сочинский № 50Республика Адыгея (Адыгея)Ставропольский край,1973-04-17,2016-09-18,,,7
1756645,Муцоев Зелимхан Аликоевич,http://www.duma.gov.ru/upload/iblock/41a/41a87aee377fa63fb0d97b1e58f3580e.jpg,http://www.duma.gov.ru/structure/deputies/1756645/,«ЕДИНАЯРОССИЯ»,Свердловская область,1959-10-13,2016-09-18,,0173,7
